case_id,fold,dice_WT,iou_WT,sens_WT,spec_WT,prec_WT,dice_TC,iou_TC,sens_TC,spec_TC,prec_TC,dice_ET,iou_ET,sens_ET,spec_ET,prec_ET,hd95_WT,hd95_TC,hd95_ET,dice_NCR,dice_ED,dice_ET_channel
BraTS20_Training_317,2,0.9228252720539791,0.8567089889062303,0.9799758745476478,0.9990946019512512,0.871973209685729,0.7980320637882772,0.6639378969654199,0.7238036621018619,0.9998228432449918,0.8892249527410208,0.5402084884586746,0.3700586585054833,0.382445967316816,0.999961637330804,0.9195183776932826,2.2360680103302,3.464101552963257,5.74456262588501,0.5862552594670407,0.8233213354846717,0.5402084884586746
BraTS20_Training_322,2,0.9045553257765407,0.8257425929956377,0.9969723628137603,0.9942999274536222,0.827818464690927,0.9232812907239724,0.8574953539581154,0.8839021249195106,0.9994039713021373,0.9663328698896535,0.3595505617977528,0.2191780821917808,0.2689075630252101,0.9999917471018572,0.5423728813559322,10.751701354980469,3.0,20.218605041503906,0.922374813704605,0.6406929917024784,0.3595505617977528
BraTS20_Training_324,2,0.9148121312493531,0.8429988553987028,0.9705972793697744,0.9969249139975463,0.8650909660410848,0.32638579467630413,0.19501853750887435,0.19663558091905112,0.9998766102072061,0.9595381331263342,,,,,,5.099019527435303,18.788293838500977,,0.3263574847334544,0.4067458905571764,
BraTS20_Training_325,2,0.41483458408202095,0.2616979779626265,0.919037583421145,0.9859798364777161,0.2678735965600792,0.26257482969792884,0.15112871287128712,0.19551183522901935,0.9990657498889234,0.39966485127775453,0.0,0.0,0.0,0.9999824523491917,0.0,22.360679626464844,21.23676109313965,82.73231506347656,0.2655705726626724,0.20554329163600688,0.0
BraTS20_Training_327,2,0.9365622987983357,0.880693149904351,0.9415751483602857,0.9964550915974877,0.9316025423683205,0.8130884998629103,0.685045599245603,0.7145063765743406,0.9981990289960478,0.9432278640954365,0.5144838483146067,0.346333392424511,0.34746265117382025,0.999985341608484,0.9907031778228533,13.34166431427002,9.0,9.69536018371582,0.7588441870494732,0.4672307915477975,0.5144838483146067
BraTS20_Training_335,2,0.9202283084283357,0.8522434099831744,0.8916631214517289,0.9978474774251379,0.9506842887307422,0.7490440393265746,0.5987773054163655,0.8124812980017954,0.9928573947539496,0.694795502040004,,,,,,4.242640495300293,8.124038696289062,,0.7488163296627403,0.6555228970809307,
BraTS20_Training_350,2,0.9643410992906198,0.9311377506919403,0.9904434641281634,0.997927664679344,0.9395792218776431,0.9780610070423964,0.9570639869722366,0.9760207388204796,0.9997095862375946,0.9801098230628432,0.9565861070347909,0.916784905284644,0.9450132142765504,0.9996447614750924,0.9684459637128583,1.4142135381698608,1.0,1.0,0.9413730678178527,0.941329006058728,0.9565861070347909
BraTS20_Training_353,2,0.9594415327403606,0.9220448085604414,0.9479994842924062,0.9996113275182787,0.9711631592850225,0.9587569276801197,0.9207810867293625,0.9581379544682297,0.9998245289174581,0.9593767011431682,0.9150100211256161,0.8433349975037444,0.9260964912280701,0.999737372225719,0.9041858473396852,1.0,1.4142135381698608,1.0,0.9609132420091324,0.9528894572775957,0.9150100211256161
BraTS20_Training_358,2,0.9539693128752502,0.9119897959183674,0.9671561587992773,0.9975926945339897,0.9411372262642108,0.9180485460225907,0.8485117725455353,0.8546953909096721,0.9999593503617283,0.9915455354494216,0.9502104078996708,0.905143673598984,0.9145079797898789,0.9999540537257976,0.9888137356919875,1.4142135381698608,3.316624879837036,1.0,0.6570425282871635,0.9480885693654567,0.9502104078996708
BraTS20_Training_359,2,0.965364238793208,0.9330474307858969,0.9846897283281277,0.9984302058349143,0.946782711180617,0.9737831410895241,0.9489058113149494,0.958993295112234,0.9998191654834183,0.9890363184478473,0.9436644634213023,0.8933377991596126,0.9303925921227881,0.9995704131587573,0.9573204555095115,1.0,1.0,1.0,0.9623142521574836,0.9163088932255367,0.9436644634213023
BraTS20_Training_361,2,0.9323052321707633,0.8731945311170364,0.9797578581522361,0.9972496440116636,0.8892368132185569,0.026471913487533794,0.013413497212656254,0.2175925925925926,0.9861489784524062,0.014093235247081401,0.047619047619047616,0.024390243902439025,0.024822695035460994,0.9999985969378449,0.5833333333333334,5.385164737701416,25.15949058532715,28.864337921142578,0.02525958089484614,0.4961101672180989,0.047619047619047616
BraTS20_Training_365,2,0.9457363840194362,0.8970587333982999,0.9898823895415289,0.9943321241864931,0.905359849070609,0.9792604678160739,0.959363713209867,0.9777419253782776,0.9995606161146465,0.9807837345232858,0.9462738301559792,0.8980263157894737,0.9350501078269694,0.9995383117766367,0.9577702702702703,3.7416574954986572,1.0,1.0,0.962283259168329,0.9024390243902439,0.9462738301559792
BraTS20_Training_003,3,0.7835564111503539,0.6441370716510904,0.867111752272956,0.9963036773717204,0.7146886406370977,0.9200323101777059,0.8519072550486163,0.9158402573036719,0.9999006210827404,0.9242629158777387,0.861459337833494,0.756634669678148,0.8939292861907938,0.9998069711790939,0.8312655086848635,5.0,3.605551242828369,1.7320507764816284,0.7081260364842454,0.7533266146251473,0.861459337833494
BraTS20_Training_012,3,0.8765461808730808,0.7802244880472967,0.8523291004960843,0.9991441450942784,0.9021796565389696,0.9219991242884844,0.855286062434722,0.8900966183574879,0.9999032898108785,0.9562735175814195,0.8430714916151809,0.7287152883735124,0.7995981918633852,0.9998333785018118,0.8915437745006534,21.118711471557617,1.7320507764816284,1.4142135381698608,0.7786128408846897,0.8131365441049543,0.8430714916151809
BraTS20_Training_024,3,0.8918166195903372,0.8047554541565664,0.9442939755508382,0.9948798868578822,0.8448648496926489,0.8387122785090814,0.7222260797111513,0.730647653835347,0.9998995631602512,0.9842914596640644,0.8254345565294904,0.7027573994434607,0.7162255070470952,0.9998652877284974,0.9739394647656889,2.4494898319244385,7.071067810058594,6.164413928985596,0.6368072877128295,0.8287584777077979,0.8254345565294904
